2017-01-01T00:00:00,Nieuwjaar,zondag
2017-01-06T00:00:00,Drie koningen,vrijdag
2017-02-14T00:00:00,Valentijn,dinsdag
2017-02-26T00:00:00,Carnaval,zondag
2017-03-19T00:00:00,Vaderdag,zondag
2017-03-26T00:00:00,Zomeruur,zondag
2017-04-16T00:00:00,Pasen,zondag
2017-04-17T00:00:00,Paasmaandag,maandag
2017-05-01T00:00:00,Dag van de Arbeid,maandag
2017-05-14T00:00:00,Moederdag,zondag
2017-05-25T00:00:00,Onze Lieve Heer Hemelvaart,donderdag
2017-05-27T00:00:00,Ramadan,zaterdag
2017-06-04T00:00:00,Pinksteren,zondag
2017-06-05T00:00:00,Pinkstermaandag,maandag
2017-06-11T00:00:00,Vaderdag,zondag
2017-06-25T00:00:00,Suikerfeest,zondag
2017-07-11T00:00:00,Feestdag van de Vlaamse Gemeenschap,dinsdag
2017-07-21T00:00:00,Nationale feestdag,vrijdag
2017-08-15T00:00:00,Onze Lieve Vrouw Hemelvaart,dinsdag
2017-08-15T00:00:00,Moederdag,dinsdag
2017-09-01T00:00:00,Offerfeest,vrijdag
2017-09-27T00:00:00,Feestdag van de Franse Gemeenschap,woensdag
2017-10-29T00:00:00,Winteruur,zondag
2017-10-31T00:00:00,Halloween,dinsdag
2017-11-01T00:00:00,Allerheiligen,woensdag
2017-11-02T00:00:00,Allerzielen,donderdag
2017-11-11T00:00:00,Sint Maarten,zaterdag
2017-11-11T00:00:00,Wapenstilstand W.O. I,zaterdag
2017-11-15T00:00:00,Koningsdag,woensdag
2017-12-06T00:00:00,Sinterklaas,woensdag
2017-12-25T00:00:00,Kerstmis,maandag
2017-12-31T00:00:00,Oudejaarsdag,zondag
