2019-01-01T00:00:00,Nieuwjaar,dinsdag
2019-01-06T00:00:00,Drie koningen,zondag
2019-02-14T00:00:00,Valentijn,donderdag
2019-03-03T00:00:00,Carnaval,zondag
2019-03-19T00:00:00,Vaderdag,dinsdag
2019-03-31T00:00:00,Zomeruur,zondag
2019-04-21T00:00:00,Pasen,zondag
2019-04-22T00:00:00,Paasmaandag,maandag
2019-05-01T00:00:00,Dag van de Arbeid,woensdag
2019-05-06T00:00:00,Ramadan,maandag
2019-05-12T00:00:00,Moederdag,zondag
2019-05-30T00:00:00,Onze Lieve Heer Hemelvaart,donderdag
2019-06-04T00:00:00,Suikerfeest,dinsdag
2019-06-09T00:00:00,Pinksteren,zondag
2019-06-09T00:00:00,Vaderdag,zondag
2019-06-10T00:00:00,Pinkstermaandag,maandag
2019-07-11T00:00:00,Feestdag van de Vlaamse Gemeenschap,donderdag
2019-07-21T00:00:00,Nationale feestdag,zondag
2019-08-11T00:00:00,Offerfeest,zondag
2019-08-15T00:00:00,Onze Lieve Vrouw Hemelvaart,donderdag
2019-08-15T00:00:00,Moederdag,donderdag
2019-09-27T00:00:00,Feestdag van de Franse Gemeenschap,vrijdag
2019-10-27T00:00:00,Winteruur,zondag
2019-10-31T00:00:00,Halloween,donderdag
2019-11-01T00:00:00,Allerheiligen,vrijdag
2019-11-02T00:00:00,Allerzielen,zaterdag
2019-11-11T00:00:00,Sint Maarten,maandag
2019-11-11T00:00:00,Wapenstilstand W.O. I,maandag
2019-11-15T00:00:00,Koningsdag,vrijdag
2019-12-06T00:00:00,Sinterklaas,vrijdag
2019-12-25T00:00:00,Kerstmis,woensdag
2019-12-31T00:00:00,Oudejaarsdag,dinsdag
